invoice_risk_decision,customer,payment_due_date,payment_date,grand_total
1,id_39,1,5,19.21
1,id_11,3,6,188.95
1,id_11,3,5,277.24
0,id_45,19,11,37.75
0,id_40,8,3,19.02
1,id_36,21,25,42.83
1,id_11,2,5,147.91
1,id_11,3,12,151.93
0,id_8,28,4,61.83
1,id_4,0,5,59.93
0,id_47,14,14,286.53
1,id_11,3,5,210.2
0,id_44,14,7,42.83
0,id_40,6,6,19.02
1,id_45,14,17,35.21
1,id_11,3,9,391.19
0,id_29,5,1,57.49
1,id_11,2,8,169.59
0,id_11,3,3,154.11
0,id_21,28,6,27.71
0,id_11,4,4,235.42
1,id_32,1,2,84.7
0,id_24,1,0,45.97
1,id_11,2,10,16.26
1,id_11,2,8,349.25
1,id_36,14,26,12.85
1,id_37,4,8,18.78
0,id_11,2,2,153.33
1,id_38,2,4,44.82
0,id_13,7,8,42.76
1,id_11,4,7,229.22
1,id_3,21,30,49.05
0,id_40,3,3,45.59
0,id_36,14,13,8.95
1,id_4,0,4,55.5
0,id_2,14,0,34.22
0,id_13,9,9,36.18
0,id_27,2,1,40.84
0,id_11,3,3,221.48
1,id_24,3,14,22.31
0,id_44,21,7,42.83
0,id_24,8,4,21.9
0,id_36,21,0,21.42
0,id_11,3,1,197.47
1,id_11,3,14,177.34
0,id_3,20,2,44.32
0,id_4,0,0,59.79
1,id_7,14,18,33.88
0,id_11,6,6,417.4
1,id_11,3,6,113.06
0,id_3,6,6,96.15
1,id_29,6,26,50.08
1,id_41,2,4,22.6
1,id_39,1,6,19.41
1,id_11,3,6,152.29
1,id_43,20,27,214.53
0,id_19,3,3,29.98
0,id_13,8,8,61.73
0,id_19,28,9,44.77
1,id_47,12,17,179.08
1,id_11,3,5,359.06
0,id_48,21,4,13.43
0,id_8,21,4,72.04
0,id_4,0,1,76.94
0,id_49,14,14,41.82
1,id_11,3,8,298.53
0,id_45,14,8,62.01
1,id_11,3,5,329.85
1,id_40,4,7,56.02
1,id_7,12,24,85.67
0,id_11,3,3,342.94
0,id_8,1,1,46.23
1,id_11,3,8,616.57
0,id_45,14,5,59.5
0,id_50,19,0,22.07
0,id_50,19,0,22.07
0,id_50,20,0,22.07
0,id_50,20,0,8.76
0,id_50,20,0,22.07
0,id_8,1,1,50.32
