"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 19, 2019","242.79","242.80","245.45","241.54","17.44M","0.35%"
"Mar 18, 2019","241.94","241.47","244.62","240.76","17.86M","0.69%"
"Mar 15, 2019","240.29","240.09","243.21","239.25","25.87M","0.00%"
"Mar 14, 2019","240.28","243.52","243.52","240.13","14.90M","-1.88%"
"Mar 13, 2019","244.88","245.87","246.84","244.55","15.15M","0.18%"
"Mar 12, 2019","244.43","243.48","246.58","243.03","15.67M","0.84%"
"Mar 11, 2019","242.39","237.32","242.45","235.94","17.69M","2.16%"
"Mar 08, 2019","237.26","239.92","240.28","236.59","18.99M","-2.45%"
"Mar 07, 2019","243.22","246.86","246.86","242.82","17.85M","-1.73%"
"Mar 06, 2019","247.51","253.49","253.90","247.42","17.67M","-2.32%"
"Mar 05, 2019","253.39","254.93","255.33","253.04","13.09M","-0.73%"
"Mar 04, 2019","255.26","254.55","257.00","251.88","14.94M","0.46%"
"Mar 01, 2019","254.10","254.14","256.86","251.45","16.26M","0.39%"
"Feb 28, 2019","253.12","256.64","256.64","252.68","20.62M","-1.43%"
"Feb 27, 2019","256.78","257.42","258.91","255.43","15.76M","-0.29%"
"Feb 26, 2019","257.52","257.90","260.39","257.09","11.55M","-0.72%"
"Feb 25, 2019","259.38","259.51","260.31","257.22","14.61M","0.37%"
"Feb 22, 2019","258.42","258.83","261.46","256.85","15.75M","0.38%"
"Feb 21, 2019","257.45","257.91","260.17","256.02","18.86M","-0.16%"
"Feb 20, 2019","257.87","251.95","258.43","251.41","20.53M","3.20%"
"Feb 19, 2019","249.88","247.39","250.68","246.70","17.02M","0.72%"
"Feb 15, 2019","248.10","249.81","251.66","246.51","18.17M","0.34%"
"Feb 14, 2019","247.25","248.85","249.59","246.27","16.88M","-1.38%"
"Feb 13, 2019","250.71","253.20","253.75","248.70","16.36M","-0.29%"
"Feb 12, 2019","251.44","247.43","252.12","247.16","15.23M","2.32%"
"Feb 11, 2019","245.73","244.14","246.12","242.29","17.31M","0.74%"
"Feb 08, 2019","243.92","244.05","245.70","241.40","19.89M","-0.36%"
"Feb 07, 2019","244.79","248.19","249.59","242.80","19.03M","-2.14%"
"Feb 06, 2019","250.15","250.56","252.35","249.68","18.38M","-0.45%"
"Feb 05, 2019","251.28","252.95","252.95","250.35","17.89M","-0.81%"
"Feb 04, 2019","253.33","250.75","254.05","250.09","20.68M","0.86%"
"Feb 01, 2019","251.17","249.96","252.58","249.31","21.14M","0.40%"
"Jan 31, 2019","250.16","244.65","251.83","241.61","44.20M","0.95%"
"Jan 30, 2019","247.81","245.19","249.78","243.54","26.02M","1.96%"
"Jan 29, 2019","243.05","242.31","247.48","241.17","23.17M","1.14%"
"Jan 28, 2019","240.31","237.77","240.38","235.06","21.21M","0.25%"
"Jan 25, 2019","239.70","237.53","240.77","236.66","22.17M","2.64%"
"Jan 24, 2019","233.53","234.45","234.79","232.18","15.41M","-0.55%"
"Jan 23, 2019","234.81","236.90","238.07","232.00","16.12M","-0.45%"
"Jan 22, 2019","235.87","236.60","236.60","230.71","26.17M","-1.07%"
"Jan 18, 2019","238.42","234.78","239.00","233.78","18.89M","1.94%"
"Jan 17, 2019","233.89","229.61","236.19","229.02","19.20M","1.44%"
"Jan 16, 2019","230.56","227.26","231.64","226.84","15.96M","1.77%"
"Jan 15, 2019","226.54","229.10","229.59","224.48","15.60M","-0.87%"
"Jan 14, 2019","228.53","228.55","230.67","226.66","13.73M","-0.83%"
"Jan 11, 2019","230.44","228.69","231.05","227.14","14.96M","0.17%"
"Jan 10, 2019","230.04","226.87","230.05","225.68","19.81M","0.76%"
"Jan 09, 2019","228.31","228.22","228.92","223.16","21.88M","1.30%"
"Jan 08, 2019","225.37","222.32","226.37","222.08","21.71M","2.86%"
"Jan 07, 2019","219.10","221.85","223.73","218.05","24.60M","-0.30%"
"Jan 04, 2019","219.77","211.92","220.92","211.76","20.14M","5.62%"
"Jan 03, 2019","208.08","211.41","212.46","206.98","16.93M","-2.06%"
"Jan 02, 2019","212.45","205.82","213.43","204.50","16.24M","1.26%"
"Dec 31, 2018","209.81","210.07","211.72","206.39","12.18M","-0.02%"
"Dec 28, 2018","209.85","211.54","213.32","208.87","13.78M","-0.81%"
"Dec 27, 2018","211.57","208.33","211.58","203.74","19.88M","0.04%"
"Dec 26, 2018","211.48","203.83","211.56","201.30","17.97M","4.45%"
"Dec 24, 2018","202.47","207.60","208.69","202.46","9.07M","-3.36%"
"Dec 21, 2018","209.50","211.16","214.63","208.70","27.07M","-0.72%"
"Dec 20, 2018","211.02","215.64","217.80","208.69","19.30M","-2.08%"
"Dec 19, 2018","215.51","221.76","226.29","214.14","21.71M","-3.00%"
"Dec 18, 2018","222.17","220.79","224.05","220.37","19.63M","0.65%"
"Dec 17, 2018","220.74","226.09","230.25","219.51","20.80M","-2.19%"
"Dec 14, 2018","225.68","225.18","231.18","224.84","18.70M","-0.45%"
"Dec 13, 2018","226.70","229.91","230.68","226.44","14.63M","-0.83%"
"Dec 12, 2018","228.59","230.19","233.05","228.43","16.18M","0.64%"
"Dec 11, 2018","227.13","232.31","233.82","226.50","14.93M","-0.86%"
"Dec 10, 2018","229.09","231.71","232.59","225.63","14.75M","-1.32%"
"Dec 07, 2018","232.15","240.80","244.41","231.30","17.84M","-2.94%"
"Dec 06, 2018","239.19","237.79","239.19","233.33","18.88M","-1.47%"
"Dec 04, 2018","242.75","250.76","253.05","242.54","20.77M","-3.33%"
"Dec 03, 2018","251.12","253.37","256.54","247.89","19.47M","1.64%"
"Nov 30, 2018","247.07","244.57","247.38","243.89","14.68M","0.43%"
"Nov 29, 2018","246.01","245.52","248.06","242.72","16.70M","0.08%"
"Nov 28, 2018","245.82","238.72","245.84","234.15","23.40M","3.11%"
"Nov 27, 2018","238.40","244.66","245.67","235.50","33.23M","-3.95%"
"Nov 26, 2018","248.20","250.29","253.96","247.50","15.88M","-0.42%"
"Nov 23, 2018","249.25","249.68","251.38","244.68","6.95M","-1.89%"
"Nov 21, 2018","254.05","252.56","257.04","249.92","10.85M","1.44%"
"Nov 20, 2018","250.45","256.25","256.25","247.85","16.11M","-3.48%"
"Nov 19, 2018","259.47","263.14","263.17","257.02","13.37M","-1.53%"
"Nov 16, 2018","263.49","262.04","265.68","262.01","11.19M","0.09%"
"Nov 15, 2018","263.25","257.82","264.00","257.34","10.90M","1.51%"
"Nov 14, 2018","259.34","264.21","267.06","257.30","10.83M","-1.40%"
"Nov 13, 2018","263.02","260.93","267.64","260.93","10.67M","0.92%"
"Nov 12, 2018","260.61","262.22","264.06","258.71","13.45M","-0.95%"
"Nov 09, 2018","263.10","264.98","266.55","259.80","15.17M","-1.96%"
"Nov 08, 2018","268.36","271.15","272.36","266.89","14.39M","-1.29%"
"Nov 07, 2018","271.86","270.48","272.20","268.12","15.07M","1.60%"
"Nov 06, 2018","267.58","264.89","267.87","264.76","14.03M","1.21%"
"Nov 05, 2018","264.37","262.72","267.57","262.52","19.08M","0.85%"
"Nov 02, 2018","262.13","261.09","263.99","257.93","21.19M","1.48%"
"Nov 01, 2018","258.30","255.66","259.17","252.22","17.99M","2.13%"
"Oct 31, 2018","252.92","249.94","254.62","248.80","18.32M","2.73%"
"Oct 30, 2018","246.20","243.43","248.21","242.60","18.16M","1.13%"
"Oct 29, 2018","243.44","246.88","249.08","240.88","17.98M","0.16%"
"Oct 26, 2018","243.04","245.71","247.23","240.19","22.41M","-2.76%"
"Oct 25, 2018","249.94","243.64","251.73","243.17","22.74M","3.24%"
"Oct 24, 2018","242.09","255.24","256.98","241.90","24.19M","-5.62%"
"Oct 23, 2018","256.50","252.37","257.86","249.57","25.92M","-1.32%"
"Oct 22, 2018","259.93","257.22","261.05","256.51","13.52M","1.02%"
"Oct 19, 2018","257.30","259.34","259.77","255.51","19.29M","-0.53%"
"Oct 18, 2018","258.68","261.38","262.99","255.45","25.75M","-1.03%"
"Oct 17, 2018","261.38","260.03","261.55","256.57","18.87M","0.61%"
"Oct 16, 2018","259.79","260.82","261.84","257.93","21.59M","0.24%"
"Oct 15, 2018","259.18","263.15","265.65","259.08","20.54M","-2.45%"
"Oct 12, 2018","265.68","268.52","269.02","262.68","16.93M","0.49%"
"Oct 11, 2018","264.39","267.52","270.82","263.89","17.94M","-1.29%"
"Oct 10, 2018","267.85","277.74","277.99","267.77","20.37M","-3.75%"
"Oct 09, 2018","278.28","280.90","281.74","277.99","11.92M","-0.98%"
"Oct 08, 2018","281.04","278.97","281.58","276.50","12.03M","0.58%"
"Oct 05, 2018","279.43","281.23","282.50","276.24","14.12M","-0.99%"
"Oct 04, 2018","282.21","284.74","287.57","280.54","15.99M","-0.80%"
"Oct 03, 2018","284.49","285.14","285.69","282.47","15.18M","0.17%"
"Oct 02, 2018","284.02","282.61","284.26","279.96","21.31M","0.35%"
"Oct 01, 2018","283.02","282.30","285.62","279.43","19.92M","0.78%"
"Sep 28, 2018","280.84","279.26","282.83","278.86","14.82M","0.31%"
"Sep 27, 2018","279.98","279.70","281.61","277.89","11.46M","0.07%"
"Sep 26, 2018","279.79","284.80","284.80","279.60","14.35M","-1.83%"
"Sep 25, 2018","285.00","282.18","285.54","282.18","13.69M","1.52%"
"Sep 24, 2018","280.72","281.92","286.59","280.40","14.41M","-0.46%"
"Sep 21, 2018","282.03","284.76","285.64","279.70","28.39M","-0.93%"
"Sep 20, 2018","284.67","288.77","291.04","283.91","17.03M","-0.62%"
"Sep 19, 2018","286.46","285.34","289.46","285.34","12.52M","0.99%"
"Sep 18, 2018","283.65","281.35","285.90","281.35","14.36M","1.12%"
"Sep 17, 2018","280.51","278.78","283.47","278.78","10.29M","0.72%"
"Sep 14, 2018","278.50","278.87","279.82","275.67","14.69M","-0.37%"
"Sep 13, 2018","279.54","279.59","282.51","278.33","10.99M","0.04%"
"Sep 12, 2018","279.43","276.08","280.74","275.34","11.32M","1.47%"
"Sep 11, 2018","275.39","274.38","276.13","269.98","13.85M","-0.01%"
"Sep 10, 2018","275.41","278.75","279.88","275.22","9.82M","-1.06%"
"Sep 07, 2018","278.37","281.69","281.69","275.76","13.98M","-1.28%"
"Sep 06, 2018","281.99","281.55","285.32","279.77","12.61M","0.15%"
"Sep 05, 2018","281.56","277.11","282.57","276.05","14.37M","1.52%"
"Sep 04, 2018","277.34","277.87","280.75","274.11","14.55M","-0.96%"
"Aug 31, 2018","280.02","279.26","281.59","278.14","12.06M","-0.04%"
"Aug 30, 2018","280.12","284.86","284.86","277.65","18.76M","-1.86%"
"Aug 29, 2018","285.42","283.87","286.82","280.80","10.58M","0.58%"
"Aug 28, 2018","283.77","284.92","286.85","282.02","10.55M","0.17%"
"Aug 27, 2018","283.29","279.96","284.86","278.97","13.78M","1.48%"
"Aug 24, 2018","279.16","276.97","279.55","276.97","11.15M","1.26%"
"Aug 23, 2018","275.68","282.85","282.85","275.40","13.20M","-2.66%"
"Aug 22, 2018","283.21","283.59","284.77","282.37","9.04M","0.00%"
"Aug 21, 2018","283.20","279.12","285.61","279.12","13.88M","1.48%"
"Aug 20, 2018","279.06","276.77","280.25","276.77","14.55M","1.14%"
"Aug 17, 2018","275.92","272.57","276.85","269.02","12.72M","1.13%"
"Aug 16, 2018","272.84","269.10","274.71","269.10","14.36M","1.71%"
"Aug 15, 2018","268.26","275.56","275.56","265.67","22.12M","-3.34%"
"Aug 14, 2018","277.54","277.59","279.60","276.97","16.95M","0.16%"
"Aug 13, 2018","277.11","278.52","281.01","275.94","15.64M","-0.46%"
"Aug 10, 2018","278.40","277.71","281.60","275.03","23.14M","-0.62%"
"Aug 09, 2018","280.14","283.48","283.71","279.95","14.04M","-1.27%"
"Aug 08, 2018","283.73","285.99","286.99","281.60","17.90M","-0.58%"
"Aug 07, 2018","285.38","285.84","289.27","285.27","14.38M","0.61%"
"Aug 06, 2018","283.65","283.31","284.98","281.89","17.31M","-0.24%"
"Aug 03, 2018","284.32","285.46","286.66","282.83","19.06M","-0.35%"
"Aug 02, 2018","285.31","289.54","289.54","284.23","34.90M","-2.08%"
"Aug 01, 2018","291.36","296.45","296.65","290.25","17.46M","-1.62%"
"Jul 31, 2018","296.15","297.83","298.44","293.56","15.82M","-0.66%"
"Jul 30, 2018","298.11","299.99","302.28","297.85","13.34M","-0.47%"
"Jul 27, 2018","299.53","302.13","303.84","298.51","11.76M","-0.69%"
"Jul 26, 2018","301.60","303.21","303.21","296.28","21.75M","-0.98%"
"Jul 25, 2018","304.57","303.77","305.23","301.88","16.25M","0.29%"
"Jul 24, 2018","303.68","301.89","308.37","301.89","24.71M","2.07%"
"Jul 23, 2018","297.52","294.88","299.49","293.80","15.25M","0.92%"
"Jul 20, 2018","294.81","291.70","296.23","291.14","13.71M","1.07%"
"Jul 19, 2018","291.68","295.21","295.21","289.67","18.45M","-1.74%"
"Jul 18, 2018","296.86","291.36","297.19","291.36","16.17M","1.90%"
"Jul 17, 2018","291.32","288.87","292.29","288.27","9.70M","0.82%"
"Jul 16, 2018","288.96","290.53","292.88","287.93","11.29M","-0.57%"
"Jul 13, 2018","290.61","289.01","291.87","288.31","10.66M","0.62%"
"Jul 12, 2018","288.83","289.75","291.99","288.21","11.47M","-0.00%"
"Jul 11, 2018","288.84","289.15","291.40","286.62","13.37M","-1.22%"
"Jul 10, 2018","292.42","289.58","294.30","289.58","11.97M","1.09%"
"Jul 09, 2018","289.27","286.94","289.52","285.29","10.51M","1.36%"
"Jul 06, 2018","285.38","282.62","286.90","280.06","12.33M","0.43%"
"Jul 05, 2018","284.16","280.74","284.23","279.78","14.57M","2.42%"
"Jul 03, 2018","277.45","284.22","284.66","276.75","11.07M","-1.74%"
"Jul 02, 2018","282.37","278.53","283.03","277.86","14.58M","0.66%"
"Jun 29, 2018","280.51","282.11","283.98","280.50","15.90M","-0.19%"
"Jun 28, 2018","281.03","281.05","281.78","276.29","15.45M","-0.43%"
"Jun 27, 2018","282.24","288.71","289.95","282.15","16.78M","-2.00%"
"Jun 26, 2018","288.00","285.30","288.82","282.66","21.63M","1.07%"
"Jun 25, 2018","284.96","296.08","296.08","281.13","27.08M","-4.53%"
"Jun 22, 2018","298.49","294.53","299.57","294.15","23.54M","2.33%"
"Jun 21, 2018","291.69","295.21","295.44","290.24","13.56M","-1.63%"
"Jun 20, 2018","296.53","294.74","296.98","290.72","14.95M","1.27%"
"Jun 19, 2018","292.81","295.21","295.21","286.56","20.46M","-2.35%"
"Jun 18, 2018","299.86","295.18","301.35","295.11","16.16M","0.66%"
"Jun 15, 2018","297.90","306.71","307.18","295.94","31.38M","-2.88%"
"Jun 14, 2018","306.72","305.81","307.16","302.25","14.70M","1.13%"
"Jun 13, 2018","303.29","306.18","306.69","302.26","23.56M","-0.64%"
"Jun 12, 2018","305.25","307.55","309.01","303.73","14.10M","-0.27%"
"Jun 11, 2018","306.07","306.67","308.94","304.08","13.43M","0.09%"
"Jun 08, 2018","305.79","304.67","306.48","303.37","12.05M","0.33%"
"Jun 07, 2018","304.77","307.90","309.29","302.63","15.19M","-1.22%"
"Jun 06, 2018","308.53","306.63","308.54","303.09","16.10M","1.44%"
"Jun 05, 2018","304.15","302.46","305.95","300.98","13.88M","0.50%"
"Jun 04, 2018","302.64","305.38","308.38","300.83","15.15M","-0.43%"
"Jun 01, 2018","303.95","304.56","307.18","302.97","21.35M","1.66%"
"May 31, 2018","298.98","304.84","310.24","298.59","28.78M","-0.08%"
"May 30, 2018","299.22","294.39","301.12","294.39","14.83M","2.57%"
"May 29, 2018","291.73","292.82","296.16","290.71","11.52M","-1.21%"
"May 25, 2018","295.29","297.34","297.74","293.71","9.47M","-1.19%"
"May 24, 2018","298.85","298.16","299.31","295.60","13.95M","0.34%"
"May 23, 2018","297.85","298.92","299.03","295.24","12.07M","-1.06%"
"May 22, 2018","301.04","301.89","306.20","300.77","14.65M","0.13%"
"May 21, 2018","300.66","303.60","303.75","297.54","21.58M","-1.01%"
"May 18, 2018","303.73","304.53","306.68","302.90","16.22M","-0.59%"
"May 17, 2018","305.54","303.51","307.98","303.07","15.63M","0.95%"
"May 16, 2018","302.67","294.52","304.53","294.52","20.41M","2.87%"
"May 15, 2018","294.22","289.68","294.45","288.50","14.30M","0.76%"
"May 14, 2018","292.00","293.16","294.08","290.88","14.20M","-0.05%"
"May 11, 2018","292.15","293.64","296.56","291.40","14.13M","-0.20%"
"May 10, 2018","292.73","288.92","295.86","288.74","15.30M","1.61%"
"May 09, 2018","288.09","288.66","290.07","287.36","12.59M","0.27%"
"May 08, 2018","287.32","286.65","289.40","285.50","12.42M","-0.05%"
"May 07, 2018","287.46","286.39","288.46","285.45","14.81M","0.62%"
"May 04, 2018","285.69","276.22","287.33","275.37","20.91M","2.96%"
"May 03, 2018","277.49","275.16","279.82","274.06","18.36M","0.81%"
"May 02, 2018","275.27","274.98","278.55","274.81","17.26M","0.70%"
"May 01, 2018","273.35","276.56","277.16","269.25","30.70M","-1.87%"
"Apr 30, 2018","278.56","281.32","283.44","275.98","26.46M","-0.62%"
"Apr 27, 2018","280.31","290.19","290.19","277.58","49.48M","-3.59%"
"Apr 26, 2018","290.74","289.69","291.97","285.01","21.67M","1.46%"
"Apr 25, 2018","286.56","282.21","289.18","280.30","18.00M","1.04%"
"Apr 24, 2018","283.60","286.68","291.59","277.71","27.98M","-0.17%"
"Apr 23, 2018","284.09","285.87","287.52","282.30","18.21M","-1.08%"
"Apr 20, 2018","287.20","292.56","292.70","284.06","18.81M","-1.63%"
"Apr 19, 2018","291.96","290.57","293.68","285.19","23.86M","-0.13%"
"Apr 18, 2018","292.33","288.59","296.24","288.59","27.20M","2.04%"
"Apr 17, 2018","286.49","282.89","287.54","282.11","17.70M","2.29%"
"Apr 16, 2018","280.07","278.67","280.93","276.30","15.16M","1.16%"
"Apr 13, 2018","276.86","280.22","282.25","274.55","18.73M","-0.40%"
"Apr 12, 2018","277.97","274.27","279.72","273.84","16.44M","2.03%"
"Apr 11, 2018","272.43","276.53","277.87","270.72","18.82M","-2.04%"
"Apr 10, 2018","278.10","274.39","279.53","273.52","17.99M","3.18%"
"Apr 09, 2018","269.54","270.22","274.11","269.38","15.89M","0.39%"
"Apr 06, 2018","268.48","276.52","277.32","265.80","26.00M","-4.01%"
"Apr 05, 2018","279.69","273.38","280.74","273.38","21.38M","3.12%"
"Apr 04, 2018","271.22","265.02","271.67","263.29","18.03M","0.45%"
"Apr 03, 2018","270.01","267.64","271.23","267.64","20.96M","1.81%"
"Apr 02, 2018","265.22","270.60","273.40","263.11","19.55M","-2.66%"
"Mar 29, 2018","272.47","264.30","273.94","264.30","23.12M","3.44%"
"Mar 28, 2018","263.41","265.55","266.88","261.21","18.95M","-1.14%"
"Mar 27, 2018","266.44","272.67","273.60","264.72","24.72M","-1.45%"
"Mar 26, 2018","270.36","266.86","270.83","264.31","22.72M","2.46%"
"Mar 23, 2018","263.87","270.92","271.69","263.75","27.35M","-2.17%"
"Mar 22, 2018","269.73","287.36","287.36","269.61","38.02M","-7.47%"
"Mar 21, 2018","291.50","287.92","294.00","287.16","16.42M","1.66%"
"Mar 20, 2018","286.74","292.21","293.52","286.16","17.85M","-1.63%"
"Mar 19, 2018","291.49","296.45","296.98","288.34","21.11M","-2.20%"
"Mar 16, 2018","298.04","295.16","301.26","291.93","32.95M","1.17%"
"Mar 15, 2018","294.60","296.41","299.26","293.73","19.85M","-0.59%"
"Mar 14, 2018","296.36","304.27","305.83","295.63","28.97M","-2.24%"
"Mar 13, 2018","303.14","305.09","310.81","302.64","33.81M","-1.26%"
"Mar 12, 2018","307.01","303.57","308.22","303.57","16.59M","0.89%"
"Mar 09, 2018","304.29","307.83","311.05","300.79","37.60M","0.01%"
"Mar 08, 2018","304.25","311.80","312.05","300.77","29.16M","-2.55%"
"Mar 07, 2018","312.21","306.44","314.66","306.12","29.72M","1.80%"
"Mar 06, 2018","306.68","308.25","308.86","302.18","25.12M","-0.06%"
"Mar 05, 2018","306.86","305.40","311.64","305.40","22.77M","-0.49%"
"Mar 02, 2018","308.37","307.44","309.06","299.75","33.72M","0.21%"
"Mar 01, 2018","307.72","303.31","312.28","300.52","57.25M","3.45%"
"Feb 28, 2018","297.47","306.50","308.11","297.47","17.71M","-2.63%"
"Feb 27, 2018","305.49","307.25","308.76","305.43","16.20M","-0.88%"
"Feb 26, 2018","308.20","309.74","311.19","304.09","23.09M","1.22%"
"Feb 23, 2018","304.49","304.88","306.32","300.96","15.51M","0.35%"
"Feb 22, 2018","303.43","305.70","307.36","302.63","19.80M","0.10%"
"Feb 21, 2018","303.14","308.31","310.34","303.14","25.51M","-1.51%"
"Feb 20, 2018","307.80","308.77","317.51","306.14","43.63M","-1.58%"
"Feb 16, 2018","312.73","296.96","315.36","294.35","58.45M","5.13%"
"Feb 15, 2018","297.46","297.32","299.83","293.16","20.08M","0.88%"
"Feb 14, 2018","294.87","283.45","295.17","283.36","22.54M","3.11%"
"Feb 13, 2018","285.97","281.47","287.63","280.18","21.73M","1.14%"
"Feb 12, 2018","282.76","276.72","284.81","275.57","20.35M","2.93%"
"Feb 09, 2018","274.71","271.58","276.32","264.57","25.13M","1.88%"
"Feb 08, 2018","269.65","280.04","280.69","269.61","24.83M","-3.67%"
"Feb 07, 2018","279.93","279.60","284.64","278.61","22.29M","-0.22%"
"Feb 06, 2018","280.56","270.19","282.07","266.12","26.14M","2.14%"
"Feb 05, 2018","274.69","279.51","285.71","273.23","25.84M","-2.60%"
"Feb 02, 2018","282.03","288.91","288.91","281.30","23.73M","-3.47%"
"Feb 01, 2018","292.17","292.15","295.20","290.25","26.31M","-0.50%"
"Jan 31, 2018","293.65","300.10","300.90","291.51","30.31M","-1.35%"
"Jan 30, 2018","297.67","305.26","307.76","296.28","27.23M","-3.08%"
"Jan 29, 2018","307.12","307.57","311.35","306.86","18.31M","-0.42%"
"Jan 26, 2018","308.43","304.03","309.36","302.19","16.70M","1.70%"
"Jan 25, 2018","303.28","308.26","308.51","301.45","23.27M","-0.81%"
"Jan 24, 2018","305.76","307.42","308.65","304.14","20.35M","0.20%"
"Jan 23, 2018","305.15","305.45","307.37","299.22","32.86M","0.38%"
"Jan 22, 2018","303.98","302.57","304.66","300.70","21.52M","0.49%"
"Jan 19, 2018","302.51","302.91","303.91","299.69","20.27M","-0.10%"
"Jan 18, 2018","302.81","303.17","305.01","300.77","15.92M","-0.43%"
"Jan 17, 2018","304.13","303.16","305.08","301.58","17.49M","0.70%"
"Jan 16, 2018","302.02","304.64","309.09","299.87","22.69M","-0.80%"
"Jan 12, 2018","304.47","308.81","308.86","303.10","19.59M","-1.12%"
"Jan 11, 2018","307.92","303.14","307.96","302.04","20.37M","2.22%"
"Jan 10, 2018","301.22","296.48","301.71","294.73","21.07M","1.51%"
"Jan 09, 2018","296.75","299.75","300.02","296.11","23.35M","-1.24%"
"Jan 08, 2018","300.49","297.91","301.27","296.98","24.76M","1.12%"
"Jan 05, 2018","297.15","296.47","297.26","293.55","22.52M","0.42%"
"Jan 04, 2018","295.90","295.61","297.15","292.84","22.80M","0.45%"
"Jan 03, 2018","294.56","292.06","296.01","290.01","29.23M","1.28%"
"Jan 02, 2018","290.83","281.01","290.94","280.97","26.78M","4.57%"
"Dec 29, 2017","278.13","282.69","282.89","278.13","13.32M","-1.35%"
"Dec 28, 2017","281.95","280.05","282.11","279.62","11.69M","0.53%"
"Dec 27, 2017","280.47","282.67","282.67","279.55","10.79M","-0.66%"
"Dec 26, 2017","282.33","280.52","282.98","279.88","10.52M","0.67%"
"Dec 22, 2017","280.46","281.33","281.39","277.68","13.56M","-0.27%"
"Dec 21, 2017","281.21","280.19","281.86","279.09","20.05M","0.98%"
"Dec 20, 2017","278.49","277.11","278.90","275.13","25.12M","2.24%"
"Dec 19, 2017","272.38","271.02","273.78","269.71","19.68M","0.68%"
"Dec 18, 2017","270.55","263.28","270.76","263.28","24.11M","3.06%"
"Dec 15, 2017","262.52","261.19","263.83","260.24","29.33M","0.69%"
"Dec 14, 2017","260.71","267.52","270.50","260.66","20.06M","-3.07%"
"Dec 13, 2017","268.98","266.74","269.37","264.90","19.22M","0.34%"
"Dec 12, 2017","268.06","267.32","270.39","266.45","20.29M","0.22%"
"Dec 11, 2017","267.48","266.98","268.56","264.57","23.94M","0.93%"
"Dec 08, 2017","265.02","260.75","267.06","260.35","25.50M","2.49%"
"Dec 07, 2017","258.59","255.97","259.03","255.74","23.62M","1.39%"
"Dec 06, 2017","255.05","252.41","256.46","252.41","27.97M","1.05%"
"Dec 05, 2017","252.41","253.89","254.26","251.40","18.11M","-1.84%"
"Dec 04, 2017","257.13","251.85","259.78","251.85","24.73M","2.69%"
"Dec 01, 2017","250.39","251.72","255.08","245.98","26.95M","-0.17%"
"Nov 30, 2017","250.82","249.44","253.18","249.21","23.34M","0.75%"
"Nov 29, 2017","248.96","244.92","251.30","244.92","17.85M","1.69%"
"Nov 28, 2017","244.82","244.16","245.27","241.40","19.88M","0.30%"
"Nov 27, 2017","244.09","244.86","244.86","240.88","14.18M","-0.27%"
"Nov 24, 2017","244.76","245.88","247.25","244.56","9.02M","-0.12%"
"Nov 22, 2017","245.05","244.34","246.74","244.34","13.99M","0.55%"
"Nov 21, 2017","243.70","243.09","245.13","243.09","14.03M","0.81%"
"Nov 20, 2017","241.73","238.13","241.99","237.80","15.11M","1.40%"
"Nov 17, 2017","238.39","237.17","239.09","236.21","15.51M","0.12%"
"Nov 16, 2017","238.10","238.43","239.30","236.95","16.55M","0.07%"
"Nov 15, 2017","237.94","235.73","238.65","231.79","23.58M","0.35%"
"Nov 14, 2017","237.10","241.14","241.14","235.52","18.60M","-2.11%"
"Nov 13, 2017","242.20","241.11","243.72","239.50","16.21M","0.07%"
"Nov 10, 2017","242.02","245.51","246.18","240.17","23.69M","-1.08%"
"Nov 09, 2017","244.66","245.38","247.07","243.59","22.07M","-1.48%"
"Nov 08, 2017","248.33","246.78","248.93","244.85","30.57M","-0.09%"
"Nov 07, 2017","248.55","250.35","250.38","247.41","15.63M","-0.80%"
"Nov 06, 2017","250.55","251.67","253.50","249.61","15.09M","0.08%"
"Nov 03, 2017","250.34","252.29","252.44","248.94","18.81M","-0.76%"
"Nov 02, 2017","252.26","252.99","256.11","251.65","22.45M","-0.15%"
"Nov 01, 2017","252.63","253.59","259.91","250.73","50.21M","1.89%"
"Oct 31, 2017","247.94","249.98","249.98","246.80","36.36M","-0.92%"
"Oct 30, 2017","250.23","253.88","254.03","249.83","19.07M","-1.89%"
"Oct 27, 2017","255.04","254.12","256.08","252.29","20.64M","-0.44%"
"Oct 26, 2017","256.16","256.95","257.38","254.33","20.84M","0.30%"
"Oct 25, 2017","255.39","258.12","258.12","254.86","19.02M","-1.46%"
"Oct 24, 2017","259.18","256.52","260.24","256.00","21.90M","1.40%"
"Oct 23, 2017","255.59","257.87","259.29","255.51","18.55M","-0.96%"
"Oct 20, 2017","258.06","254.79","258.75","254.73","25.68M","2.20%"
"Oct 19, 2017","252.51","246.24","252.60","243.01","23.58M","1.73%"
"Oct 18, 2017","248.21","246.79","249.34","246.57","24.66M","0.80%"
"Oct 17, 2017","246.24","246.50","248.72","246.08","16.51M","-0.08%"
"Oct 16, 2017","246.43","251.94","251.96","245.56","22.33M","-1.66%"
"Oct 13, 2017","250.60","249.58","251.65","249.24","36.36M","2.10%"
"Oct 12, 2017","245.44","243.43","246.58","242.24","20.73M","0.57%"
"Oct 11, 2017","244.05","239.45","245.42","239.35","23.51M","2.06%"
"Oct 10, 2017","239.13","240.31","241.22","238.20","15.75M","0.09%"
"Oct 09, 2017","238.91","242.85","242.95","237.56","22.40M","-1.74%"
"Oct 06, 2017","243.15","244.17","244.40","241.50","19.38M","-0.89%"
"Oct 05, 2017","245.33","244.85","247.10","244.12","19.66M","0.63%"
